id_buku,judul_buku,deskripsi,kategori,user,penulis,rating,ulasan,tahun_terbit
1,Sistem Bahan Bakar Diesel,"Buku ini membahas tentang prinsip kerja sistem bahan bakar diesel, komponen-komponen utamanya, serta cara perawatannya. Dilengkapi dengan penjelasan mengenai teknologi terbaru dalam sistem bahan bakar diesel, buku ini sangat cocok bagi teknisi dan mahasiswa yang ingin memperdalam pengetahuan tentang mesin diesel.",Otomotif,User24,Rizky Haryanto,10,Materinya menarik dan mudah dipahami,2019
2,Teknik Pemeliharaan Mesin,"Buku ini mengulas teknik-teknik dasar dan lanjutan dalam pemeliharaan mesin, termasuk perawatan preventif dan korektif. Penulis juga memberikan panduan praktis untuk memperpanjang umur mesin dan memastikan performa optimal melalui perawatan yang tepat.",Otomotif,User97,Hilmi Wijaya,7,Informasinya sangat lengkap,2023
3,Pengapian pada Kendaraan,"Buku ini menjelaskan secara mendalam tentang sistem pengapian pada kendaraan, dari prinsip dasar hingga teknologi terkini. Pembahasan mencakup komponen pengapian, cara kerja, serta troubleshooting masalah yang sering terjadi pada sistem pengapian.",Otomotif,User73,Indra Putra,7,"Kurang mendalam, tetapi cukup bagus",2021
4,Teknologi Injeksi Elektronik,"Buku ini fokus pada teknologi injeksi elektronik, yang merupakan salah satu sistem penting dalam kendaraan modern. Pembaca akan mendapatkan pengetahuan mengenai cara kerja, jenis-jenis sistem injeksi, serta bagaimana teknologi ini meningkatkan efisiensi bahan bakar dan performa mesin.",Otomotif,User170,Indra Azis,10,Buku ini cukup membantu,2019
5,Servis Transmisi Otomatis,"Buku ini menawarkan panduan lengkap mengenai servis dan pemeliharaan transmisi otomatis. Dengan penjelasan langkah demi langkah dan ilustrasi yang mendetail, buku ini sangat bermanfaat bagi teknisi yang ingin memahami dan memperbaiki transmisi otomatis.",Otomotif,User74,Dian Siregar,7,Sangat baik dan bermanfaat,2021
6,Diagnosa Kerusakan Mesin,"Buku ini membahas metode dan teknik untuk mendiagnosa berbagai jenis kerusakan mesin. Dilengkapi dengan studi kasus dan tips troubleshooting, buku ini dirancang untuk membantu teknisi dalam mendiagnosa dan memperbaiki kerusakan mesin dengan lebih efektif.",Otomotif,User157,Fajar Pratama,7,Sangat baik dan bermanfaat,2020
7,Perawatan Kendaraan Roda Empat,"Buku ini memberikan panduan komprehensif tentang perawatan kendaraan roda empat, mencakup semua aspek mulai dari mesin hingga komponen-komponen lainnya. Buku ini ditujukan bagi pemilik kendaraan dan teknisi yang ingin memastikan kendaraan selalu dalam kondisi prima.",Otomotif,User49,Ahmad Purnomo,9,"Kurang mendalam, tetapi cukup bagus",2017
8,Teknik Pendingin Mesin,"Buku ini membahas sistem pendingin mesin, termasuk komponen-komponen utama, cara kerja, dan metode perawatan. Pembaca akan belajar cara mencegah overheating dan memastikan sistem pendingin berfungsi optimal untuk menjaga suhu mesin tetap stabil.",Otomotif,User56,Ayu Haryanto,9,Materinya menarik dan mudah dipahami,2022
9,Modifikasi Mesin Otomotif,"Buku ini berfokus pada teknik-teknik modifikasi mesin otomotif untuk meningkatkan performa kendaraan. Berisi panduan praktis dan tips dari para ahli, buku ini cocok bagi para penggemar otomotif yang ingin mengubah mesin standar menjadi lebih bertenaga.",Otomotif,User193,Hilmi Wijaya,9,Sangat baik dan bermanfaat,2015
10,Dasar-Dasar Mekanik Kendaraan,"Buku ini memberikan pengenalan dasar mengenai mekanik kendaraan, cocok bagi pemula yang ingin mempelajari dasar-dasar kerja mesin dan komponen kendaraan. Penjelasan yang mudah dipahami membuat buku ini menjadi referensi yang ideal bagi siswa atau orang yang baru terjun ke dunia mekanik.",Otomotif,User127,Indra Putra,8,Buku ini cukup membantu,2015
11,Perbaikan Sistem Kelistrikan,"Buku ini menjelaskan berbagai teknik dan prosedur untuk memperbaiki sistem kelistrikan kendaraan, meliputi diagnosis, perawatan, dan perbaikan komponen listrik.",Otomotif,User134,Budi Azis,10,Buku ini cukup membantu,2020
12,Teknik Perbaikan Rem,"Buku ini membahas metode dan prosedur perbaikan sistem rem, mulai dari rem hidraulik hingga rem ABS, termasuk cara mendiagnosa dan memperbaiki masalah rem.",Otomotif,User194,Fajar Putra,8,Informasinya sangat lengkap,2016
13,Sistem Pembuangan Gas,"Buku ini mengulas komponen dan fungsi sistem pembuangan gas pada kendaraan, serta cara-cara untuk memelihara dan memperbaikinya guna mengurangi emisi dan meningkatkan performa mesin.",Otomotif,User136,Indra Siregar,9,"Kurang mendalam, tetapi cukup bagus",2019
14,Manajemen Bengkel Otomotif,"Buku ini memberikan panduan dalam mengelola bengkel otomotif, mencakup aspek manajemen, operasional, serta strategi bisnis untuk meningkatkan efisiensi dan layanan pelanggan.",Otomotif,User61,Ayu Pratama,10,"Kurang mendalam, tetapi cukup bagus",2015
15,Pengujian Kinerja Mesin,"Buku ini berfokus pada teknik-teknik pengujian kinerja mesin, termasuk penggunaan alat penguji, analisis data, dan metode untuk meningkatkan performa mesin kendaraan.",Otomotif,User50,Rizky Pratama,7,Buku ini cukup membantu,2018
16,Pemrograman ECU Kendaraan,"Buku ini menjelaskan dasar-dasar pemrograman Electronic Control Unit (ECU) pada kendaraan, termasuk teknik kalibrasi dan tuning untuk meningkatkan efisiensi dan performa mesin.",Otomotif,User156,Indra Siregar,7,Sangat baik dan bermanfaat,2017
17,Teknologi Hybrid,"Buku ini memberikan wawasan mendalam tentang teknologi kendaraan hybrid, mencakup prinsip kerja, komponen utama, serta cara perawatan dan perbaikan sistem hybrid.",Otomotif,User72,Siti Azis,10,Sangat baik dan bermanfaat,2023
18,Sistem Keamanan Kendaraan,"Buku ini mengulas berbagai sistem keamanan yang diterapkan pada kendaraan modern, seperti alarm, immobilizer, dan teknologi pengunci pintu, serta teknik-teknik untuk memasang dan memperbaikinya.",Otomotif,User43,Siti Haryanto,10,Informasinya sangat lengkap,2017
19,Perbaikan Sistem Suspensi,"Buku ini membahas sistem suspensi pada kendaraan, termasuk cara mendiagnosa dan memperbaiki berbagai jenis suspensi untuk memastikan kenyamanan dan kestabilan kendaraan.",Otomotif,User124,Dian Azis,8,Materinya menarik dan mudah dipahami,2015
20,Penanganan Emisi Kendaraan,"Buku ini memberikan panduan dalam menangani dan mengurangi emisi kendaraan, mencakup teknologi dan metode yang digunakan untuk meminimalkan dampak lingkungan.",Otomotif,User94,Rizky Azis,10,Materinya menarik dan mudah dipahami,2020
21,Perawatan Mesin Ringan,"Buku ini menawarkan panduan praktis dalam melakukan perawatan mesin ringan, seperti penggantian oli, filter, dan pengecekan komponen dasar untuk menjaga performa mesin.",Otomotif,User73,Dian Santoso,8,Materinya menarik dan mudah dipahami,2020
22,Teknik Pengelasan Otomotif,"Buku ini mengajarkan berbagai teknik pengelasan yang digunakan dalam industri otomotif, termasuk pengelasan baja, aluminium, dan teknik pengelasan pada sasis kendaraan.",Otomotif,User71,Fajar Azis,10,Materinya menarik dan mudah dipahami,2019
23,Perbaikan Mesin Diesel,"Buku ini membahas metode dan teknik untuk memperbaiki mesin diesel, termasuk diagnosa kerusakan, perawatan, dan perbaikan komponen utama pada mesin diesel.",Otomotif,User22,Siti Azis,10,Materinya menarik dan mudah dipahami,2022
24,Servis Kendaraan Listrik,"Buku ini menjelaskan cara-cara servis dan perawatan kendaraan listrik, mulai dari sistem penggerak hingga baterai, untuk memastikan performa dan keselamatan kendaraan.",Otomotif,User26,Rizky Kusuma,9,Informasinya sangat lengkap,2020
25,Dasar-Dasar Chassis,"Buku ini memberikan penjelasan dasar mengenai konstruksi dan fungsi sasis kendaraan, serta teknik-teknik perawatan dan perbaikan yang dibutuhkan.",Otomotif,User122,Rizky Kusuma,9,Buku ini cukup membantu,2018
26,Pemeliharaan Truk dan Bus,"Buku ini memberikan panduan khusus mengenai pemeliharaan kendaraan berat seperti truk dan bus, mencakup aspek-aspek penting dalam menjaga performa dan keselamatan kendaraan besar.",Otomotif,User1,Fajar Pratama,8,Sangat baik dan bermanfaat,2018
27,Diagnosa Sistem Injeksi,"Buku ini berfokus pada teknik-teknik untuk mendiagnosa dan memperbaiki sistem injeksi bahan bakar pada kendaraan, mencakup sistem injeksi konvensional dan elektronik.",Otomotif,User199,Ayu Putra,8,Informasinya sangat lengkap,2023
28,Pengukuran Kompresi Mesin,"Buku ini mengajarkan teknik-teknik pengukuran kompresi mesin, serta cara menganalisis hasilnya untuk mendiagnosa kondisi mesin dan potensi masalah.",Otomotif,User69,Budi Kusuma,7,Materinya menarik dan mudah dipahami,2022
29,Pengelolaan Limbah Otomotif,"Buku ini membahas metode pengelolaan limbah dari bengkel otomotif, mencakup praktik terbaik dalam menangani limbah berbahaya dan non-berbahaya untuk meminimalkan dampak lingkungan.",Otomotif,User132,Ayu Haryanto,8,Materinya menarik dan mudah dipahami,2017
30,Sistem Manajemen Baterai,"Buku ini mengulas sistem manajemen baterai pada kendaraan listrik dan hybrid, termasuk cara-cara untuk mengoptimalkan kinerja dan umur baterai.",Otomotif,User184,Siti Haryanto,8,Informasinya sangat lengkap,2015
31,Teknik Pemeliharaan Rutin,"Buku ini memberikan panduan mengenai pemeliharaan rutin kendaraan, seperti pengecekan berkala dan penggantian suku cadang, untuk memastikan kendaraan selalu dalam kondisi optimal.",Otomotif,User108,Indra Siregar,8,"Kurang mendalam, tetapi cukup bagus",2019
32,Modifikasi Kendaraan Sport,"Buku ini berfokus pada teknik-teknik modifikasi untuk kendaraan sport, termasuk peningkatan performa mesin, suspensi, dan aerodinamika untuk keperluan balap atau tampilan.",Otomotif,User86,Yusuf Purnomo,9,Materinya menarik dan mudah dipahami,2016
33,Dasar Sistem Pengereman,"Buku ini mengajarkan prinsip dasar sistem pengereman, mulai dari mekanisme hingga cara perawatannya untuk memastikan keselamatan berkendara.",Otomotif,User119,Rizky Haryanto,9,Informasinya sangat lengkap,2015
34,Sistem Pengapian Elektronik,"Buku ini membahas tentang sistem pengapian elektronik pada kendaraan, termasuk cara kerja, perawatan, dan diagnosa masalah yang mungkin terjadi.",Otomotif,User69,Rizky Azis,8,Materinya menarik dan mudah dipahami,2021
35,Perbaikan Sistem AC Mobil,"Buku ini memberikan panduan untuk memperbaiki dan memelihara sistem AC pada mobil, mencakup cara mendiagnosa masalah dan melakukan servis.",Otomotif,User71,Hilmi Rahman,7,"Kurang mendalam, tetapi cukup bagus",2023
36,Pemrograman Mesin CNC,"Buku ini mengajarkan dasar-dasar pemrograman mesin CNC (Computer Numerical Control), yang digunakan untuk proses manufaktur presisi dalam industri otomotif.",Otomotif,User14,Ayu Putra,10,Materinya menarik dan mudah dipahami,2023
37,Teknik Pelapisan Logam,"Buku ini membahas berbagai teknik pelapisan logam yang digunakan dalam industri otomotif, seperti pelapisan krom, galvanisasi, dan anodisasi untuk meningkatkan ketahanan dan estetika komponen kendaraan.",Otomotif,User39,Indra Siregar,7,Sangat baik dan bermanfaat,2021
